County,PctCollegeDegree
Abbeville,12.2
Aiken,24
Allendale,15
Anderson,19.3
Bamberg,17.5
Barnwell,11.2
Beaufort,37.6
Berkeley,21.3
Calhoun,16.9
Charleston,39.4
Cherokee,14.3
Chester,12.4
Chesterfield,12.6
Clarendon,13
Colleton,14.7
Darlington,17
Dillon,8.2
Dorchester,24.5
Edgefield,17.2
Fairfield,15.5
Florence,21.3
Georgetown,22.7
Greenville,31.2
Greenwood,22.1
Hampton,11.4
Horry,22.7
Jasper,12.5
Kershaw,19.3
Lancaster,18.7
Laurens,14.5
Lee,9.1
Lexington,28.7
Marion,13.6
Marlboro,8.7
McCormick,18.2
Newberry,18.9
Oconee,21.7
Orangeburg,18.6
Pickens,23
Richland,36.1
Saluda,12.4
Spartanburg,21.3
Sumter,19.2
Union,12.9
Williamsburg,12.2
York,28.5
