Product,Amount,Accumulated total
Sesme-1,20000,20000
Sesme-2,17000,37000
Sesme-3,14450,51450
Sesme-4,12283,63733
Sesme-5,10441,74174
Sesme-6,8875,83049
Sesme-7,7544,90593
Sesme-8,6412,97005
Sesme-9,5450,102455
Sesme-10,4633,107088
Sesme-11,3938,111026
Sesme-12,3347,114373
Sesme-13,2845,117218
Sesme-14,2418,119636
Sesme-15,2055,121691
Sesme-16,1747,123438
Sesme-17,1485,124923
Sesme-18,1262,126185
Sesme-19,1073,127258
Sesme-20,912,128170
Sesme-21,775,128945
Sesme-22,659,129604
Sesme-23,560,130164
Sesme-24,476,130640
Sesme-25,405,131045
Sesme-26,344,131389
Sesme-27,292,131681
Sesme-28,248,131929
Sesme-29,211,132140
Sesme-30,179,132319
Sesme-31,152,132471
Sesme-32,129,132600
Sesme-33,110,132710
Sesme-34,94,132804
Sesme-35,80,132884
Sesme-36,68,132952
Sesme-37,58,133010
Sesme-38,49,133059
Sesme-39,42,133101
Sesme-40,36,133137
Sesme-41,31,133168
Sesme-42,26,133194
Sesme-43,22,133216
Sesme-44,19,133235
Sesme-45,16,133251
Sesme-46,14,133265
Sesme-47,12,133277
Sesme-48,10,133287
Sesme-49,9,133296
Sesme-50,8,133304
